"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,0.000905003626915919,194,422,17,0.0402843601895735,0.0876288659793814,"GO:0030324","GO:BP","lung development",20972,6333,"GO:0030323;GO:0048513;GO:0060541"
"query_1",TRUE,0.00102108694390979,12397,422,298,0.706161137440758,0.0240380737275147,"GO:0050789","GO:BP","regulation of biological process",20972,12397,"GO:0008150;GO:0065007"
"query_1",TRUE,0.00103187461133238,506,422,29,0.0687203791469194,0.0573122529644269,"GO:0051249","GO:BP","regulation of lymphocyte activation",20972,12698,"GO:0002694;GO:0046649"
"query_1",TRUE,0.0010693887853078,686,422,35,0.0829383886255924,0.0510204081632653,"GO:0008285","GO:BP","negative regulation of cell population proliferation",20972,3012,"GO:0008283;GO:0042127;GO:0048523"
"query_1",TRUE,0.00111238993123704,1111,422,48,0.113744075829384,0.0432043204320432,"GO:0002684","GO:BP","positive regulation of immune system process",20972,1156,"GO:0002376;GO:0002682;GO:0048518"
"query_1",TRUE,0.00117873717249317,318,422,22,0.0521327014218009,0.0691823899371069,"GO:0090287","GO:BP","regulation of cellular response to growth factor stimulus",20972,16966,"GO:0048583;GO:0071363"
"query_1",TRUE,0.00120777023401141,198,422,17,0.0402843601895735,0.0858585858585859,"GO:0030323","GO:BP","respiratory tube development",20972,6332,"GO:0035295;GO:0048513"
"query_1",TRUE,0.00122800634938317,221,422,18,0.042654028436019,0.081447963800905,"GO:0060541","GO:BP","respiratory system development",20972,13725,"GO:0048731"
"query_1",TRUE,0.00128165831055718,570,422,31,0.0734597156398104,0.0543859649122807,"GO:0009611","GO:BP","response to wounding",20972,3382,"GO:0006950"
"query_1",TRUE,0.0013415262610941,295,422,21,0.0497630331753555,0.0711864406779661,"GO:0046651","GO:BP","lymphocyte proliferation",20972,11449,"GO:0032943;GO:0046649"
"query_1",TRUE,0.00140126920531724,223,422,18,0.042654028436019,0.0807174887892377,"GO:0051924","GO:BP","regulation of calcium ion transport",20972,13065,"GO:0006816;GO:0010959"
"query_1",TRUE,0.00186611349743822,1449,422,57,0.135071090047393,0.0393374741200828,"GO:0023057","GO:BP","negative regulation of signaling",20972,6207,"GO:0023051;GO:0023052;GO:0048519"
"query_1",TRUE,0.00187300320552425,492,422,28,0.0663507109004739,0.0569105691056911,"GO:0001819","GO:BP","positive regulation of cytokine production",20972,463,"GO:0001816;GO:0001817;GO:0010628;GO:0051240"
"query_1",TRUE,0.00196335653248117,302,422,21,0.0497630331753555,0.0695364238410596,"GO:0032943","GO:BP","mononuclear cell proliferation",20972,7416,"GO:0070661"
"query_1",TRUE,0.0020722730152733,102,422,12,0.028436018957346,0.117647058823529,"GO:0032963","GO:BP","collagen metabolic process",20972,7434,"GO:0008152"
"query_1",TRUE,0.00233521941652201,970,422,43,0.101895734597156,0.0443298969072165,"GO:0050776","GO:BP","regulation of immune response",20972,12391,"GO:0002682;GO:0006955;GO:0048583"
"query_1",TRUE,0.00240365242870836,69,422,10,0.023696682464455,0.144927536231884,"GO:0030199","GO:BP","collagen fibril organization",20972,6273,"GO:0030198"
"query_1",TRUE,0.00252806028738929,186,422,16,0.037914691943128,0.0860215053763441,"GO:0043270","GO:BP","positive regulation of monoatomic ion transport",20972,9926,"GO:0006811;GO:0043269;GO:0051050"
"query_1",TRUE,0.00278710507452618,1914,422,69,0.163507109004739,0.0360501567398119,"GO:0032879","GO:BP","regulation of localization",20972,7364,"GO:0050789;GO:0051179"
