"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000168743.14",7776.96920495937,-1.09380710682267,0.342299019257176,7.04107270676625e-05,0.00672110497237016
"ENSG00000245293.6",700.223595059486,-2.17383447995972,0.800526606489375,0.000195996431068921,0.0142302544446183
"ENSG00000173376.15",13968.7683154095,-1.05684140079859,0.383812874719122,0.000273234421112228,0.0179170501704984
"ENSG00000164161.11",3573.66926581713,-2.05664623827745,0.467900654979008,4.67086652796246e-07,0.000173227890921467
"ENSG00000289314.1",132.890092706618,-1.60885762101136,0.608339468040478,0.000288310246998929,0.0185824578856318
"ENSG00000137460.11",1006.78201303929,-1.15229756398319,0.510249283730003,0.000896134874733371,0.0403849786276754
"ENSG00000145423.6",1923.23560872939,2.72393220795591,0.678363939036449,2.4050503405301e-06,0.000556658285032317
"ENSG00000151790.10",336.881404028297,1.99370837509681,0.572511459951866,1.96173008657979e-05,0.0026416797469461
"ENSG00000171509.17",595.011024310416,-1.00192128698434,0.406247632853189,0.000624882812431827,0.0312068959506517
"ENSG00000164120.14",3932.91441911158,-1.75640770876009,0.429493064941708,1.86889574338929e-06,0.000465103466628408
"ENSG00000150625.18",1180.38588593473,-1.56013510690893,0.527346743958719,0.000116426713012391,0.00955851362448606
"ENSG00000151718.17",5271.5390618905,-1.0799331236559,0.38018444098255,0.000211581673162777,0.0149689606706562
"ENSG00000088926.16",311.319792436192,-1.39735404462504,0.629823824424923,0.000854259769530312,0.0392859373973507
"ENSG00000171368.13",826.502411867706,-1.16895491212824,0.411190669439195,0.000198996042318324,0.0143632371013834
"ENSG00000170561.14",909.984158051134,-1.1222938113994,0.42328167781251,0.000348008693052541,0.0207448628589647
"ENSG00000145536.16",108.269410478305,1.95144067340056,0.772775570284942,0.000387793421918436,0.0223232839289078
"ENSG00000133401.17",4351.59710387172,-1.27899523120514,0.398932152333991,5.98482431206997e-05,0.00599091506247606
"ENSG00000079215.16",3113.50446653479,2.52141062777982,0.618475804764749,1.86530272795491e-06,0.000465103466628408
"ENSG00000070193.6",274.015196336728,-1.30423693579993,0.563281034467024,0.000726357797350773,0.0345945104199295
"ENSG00000113088.6",112.687758244495,1.7240423941683,0.67494586640781,0.000353573629231233,0.0209944782522262
"ENSG00000164509.17",93.3625207842141,2.81632631767084,0.829577946490201,2.24521587892427e-05,0.00290248679022307
"ENSG00000134061.5",555.360428898166,1.24336050255847,0.575112356013087,0.00107591877961068,0.0443601862841036
"ENSG00000197822.13",1874.82774650543,-1.27740843174039,0.365852106129387,2.27099919949335e-05,0.00291913720966693
"ENSG00000152413.16",506.25896798227,-1.15377290119625,0.473210476867663,0.000592963057651245,0.0302130703901895
"ENSG00000173930.10",844.480162823521,-1.56067335726246,0.571837216651315,0.000227378711469802,0.015635223676539
"ENSG00000255833.2",207.915015179218,2.34605205649558,0.734515341162762,4.91569484478793e-05,0.00516532581795409
"ENSG00000145824.14",478.699384543085,2.28589775143671,0.865474652034012,0.000246022144851231,0.0163698793616747
"ENSG00000120738.8",6516.57762591286,-1.75055632013897,0.684598893531943,0.000330451644591227,0.0202048852853712
"ENSG00000170476.16",750.928526542027,2.00761014696938,0.736277848885152,0.000209890823908382,0.0149319500291803
"ENSG00000187678.11",2176.61455490473,-1.32632563026582,0.459382221541448,0.000159147278846667,0.0122462207120685
"ENSG00000169252.6",1160.59201440871,-1.07418122866291,0.371346810692366,0.000183656634562209,0.0135715584769844
"ENSG00000211445.13",10025.8138180197,-1.04419929904121,0.34727912042344,0.000130962877375583,0.0104708260976547
"ENSG00000086570.13",272.402004677029,1.76055724405248,0.778402381257354,0.000684476627567707,0.0334447402709811
"ENSG00000155511.19",972.481174246985,-1.45136523905755,0.441541183741753,4.38427979931296e-05,0.00472312199523129
"ENSG00000118322.15",101.954133439338,2.36722851583946,0.712365843655521,2.89551294323248e-05,0.00352178437176066
"ENSG00000145864.15",147.487173960308,-1.59896435248013,0.663835325631601,0.000507221243203482,0.026747939825157
"ENSG00000094755.18",159.789484350642,3.66838744257596,0.886480977205642,1.36052766660421e-06,0.000362108440018671
"ENSG00000253295.3",113.376589766689,-1.48756888413599,0.562555214004079,0.000304176543444944,0.0191682059675626
"ENSG00000295914.1",122.583707972945,-1.81576328146132,0.600427679638765,9.04436322686297e-05,0.00805553658587878
"ENSG00000160867.16",1612.36681411014,-1.57799014608819,0.3681884394065,8.49240438247093e-07,0.000270335795603047
"ENSG00000137265.17",1340.80203004094,1.28228251479395,0.51924219021007,0.000502921033170964,0.0267079402193116
"ENSG00000164379.7",286.878323205348,-1.36511827046276,0.547942223720086,0.000462781474703482,0.0252886601502823
"ENSG00000281706.6",433.604074615543,-1.83072199365972,0.69752603356159,0.00027736170880252,0.0179788971255715
"ENSG00000237988.6",775.081714153973,2.88680206085807,0.687151991619243,1.00327536338425e-06,0.000290988442895409
"ENSG00000290710.2",154.896103389608,-1.25375397443395,0.568644412274503,0.000950717665460611,0.0414413983539796
"ENSG00000196260.5",1063.85386344727,-1.54722765839254,0.560699192018434,0.000200626924989486,0.0143632371013834
"ENSG00000226979.10",32.913042777511,4.14152375272441,1.19297165532369,2.12843886998137e-05,0.00281588728395255
"ENSG00000227507.3",547.732876755905,2.0830315128126,0.532344593026055,3.62777594868065e-06,0.000746101593518203
"ENSG00000204305.17",11925.3644055216,-1.7799425455771,0.326365725548699,2.39748348101147e-09,2.1425804016452e-06
"ENSG00000241106.9",178.614560667408,1.17399614007695,0.500352763384623,0.000739807444174185,0.0350449080338002
"ENSG00000301948.1",65.9487418190418,5.77351447471703,1.22427995253667,2.64137728989228e-07,0.000110659034128209
"ENSG00000161896.13",86.1461697825237,-1.7368340929553,0.624390831709647,0.000196253343355033,0.0142302544446183
"ENSG00000164530.16",355.375755904083,2.65947945522781,0.829013263795144,4.5371024764874e-05,0.00484164477950823
"ENSG00000124731.14",1583.11812369803,-2.54439114715779,0.733104922184049,1.76380496972382e-05,0.0024183369593977
"ENSG00000096088.17",5572.69959636254,-1.4209070390202,0.468640228830729,0.000101837050303649,0.00859859088777835
"ENSG00000112782.19",6444.03885869926,-1.48033215343517,0.351092608205295,1.19729779741029e-06,0.000334400840380408
"ENSG00000069122.20",16362.9110446719,-1.0850340396332,0.406221400206571,0.000341571222755527,0.0205787303148358
"ENSG00000112837.17",88.9184887445513,2.7867840459021,1.00618586074892,0.000162385369690952,0.0124109601976973
"ENSG00000188820.15",199.222673473338,2.85839677570721,0.76740555409014,6.7380888614045e-06,0.00115060503740689
"ENSG00000198523.7",1093.96229448154,1.54939255572799,0.674094199731732,0.000691809772317872,0.0335854345046077
"ENSG00000184530.9",99.3864351169653,5.22479150608364,1.2670326757877,1.33899704634051e-06,0.000360620597373349
"ENSG00000146411.7",376.329480000962,-1.25705945831119,0.428475862663473,0.000145133860043444,0.0113581086902356
